Term,Arabic,Description
Caylen,كايلن,المدينة الواقعة خلف بوابة الجبل
Fort Reach,حصن ريتش,المعسكر الذي استقرت فيه محاكم التفتيش
Lowland Meadows,المروج المنخفضة,الأراضي العشبية
Hunters Vale,وادي الصيادين,منطقة صيد مأهولة بالوحوش
Weeping Sisters,الأخوات الباكيات,تكوين صخري / كهفي أسطوري
Sylvan Hollow,الجوف الغابي,غابة كثيفة مظلمة
Marin Village,قرية مارين,القرية المهجورة في الغابات
Marin Woods,غابات مارين,الغابات الكثيفة
The Rookery,برج الحمام (الروكري),البرج المرتفع الذي يقيم فيه المراقب
War Room,غرفة الحرب,مقر قادة ساكرامنت العسكريين
The Gallows,المشنقة,ساحة الإعدام في ساكرامنت
Marketplace,السوق,ساحة التجارة وسط ساكرامنت
Crucible Atrium,بهو البوتقة,المدخل الرئيسي لبوتقة السيريم
Knight,الفارس,فئة مقاتل - دروع ثقيلة وسيوف عظيمة
Guardian,الحارس,فئة مقاتل - دروع وسيوف متوازنة
Barbarian,البربري,فئة مقاتل - هراوات ضخمة وقوة بدنية خام
Berserker,الهائج,فئة مقاتل - فؤوس عظيمة وهجوم مستمر
Blademaster,سيد السيوف,فئة مقاتل - سيوف منحنية
Cleric,الكاهن,فئة مقاتل - معجزات ودعم مقدس
Crusader,الصليبي,فئة مقاتل - مطارق عظيمة وسحر مقدس
Assassin,القاتل المأجور,فئة مقاتل - خناجر وتخفٍ
Archer,الرامي,فئة مقاتل - أقواس وهجوم عن بعد
Cutthroat,قاطع الطرق,فئة مقاتل - سيوف خفيفة وسريعة
Fencer,المبارز,فئة مقاتل - طعنات شيش دقيقة
Dragoon,الفارس التنين,فئة مقاتل - رماح وقفزات قتالية
Brute,العنيف,فئة مقاتل - شجار بالهراوات والمراوغة
Ascetic,الزاهد,فئة مقاتل - فنون ننشاكو قتالية
Frost Mage,ساحر الصقيع,فئة مقاتل - سحر جليدي وتجميد
Harbinger,النذير,فئة مقاتل - مناجل وسحر مظلم
Exorcist,طارد الأرواح,فئة مقاتل - تطهير وطرد الأرواح
Flagellant,الجلاد النادم,فئة مقاتل - قتال تضحوي تكفيري
Marauder,المغير,فئة مقاتل - فؤوس هجومية مركبة
Health,الصحة,شريط الحياة الأحمر
Stamina,طاقة الجهد / التحمل,شريط الطاقة الأخضر المستخدم للهجوم والمراوغة
Focus,التركيز,شريط الطاقة الأزرق المستخدم لحركات ورونات القوة
Poise,الصمود / التوازن,مقاومة السقوط والترنح عند تلقي الضربات
Strength,القوة,سمة الأسلحة الثقيلة
Dexterity,البراعة,سمة الأسلحة الخفيفة والسريعة
Intelligence,الذكاء,سمة تعاويذ وعصي السحر
Faith,الإيمان,سمة القدرات والمعجزات المقدسة
Equip Load,حمولة العتاد,وزن الدروع والأسلحة المجهزة وتأثيرها على الحركة
Weight,الوزن,وزن العتاد الكلي
Fast Roll,تدحرج سريع,مراوغة خفيفة وسريعة
Normal Roll,تدحرج عادي,مراوغة متوسطة السرعة
Heavy Roll,تدحرج ثقيل,مراوغة ثقيلة وبطيئة
Armor,الدرع,قيمة الحماية وتقليل الضرر الجسدي
Damage,الضرر,مقدار الإصابة الناتجة عن الهجوم
Attack Speed,سرعة الهجوم,سرعة توجيه الضربات
Critical Chance,فرصة الضربة الحرجة,نسبة احتمالية حدوث ضربة مضاعفة
Critical Damage,ضرر الضربة الحرجة,قيمة الضرر الإضافي للضربة الحرجة
Durability,المتانة,عمر السلاح أو الدرع قبل أن ينكسر
Parry,الصد المتقن (باري),مباغتة الخصم وصده في اللحظة الأخيرة لكسر هجومه
Block,الصد,الدفاع بالترس أو السلاح
Dodge,تفادٍ,حركة الهروب من ضربات الخصم
Roll,تدحرج,حركة الهروب والتفادي السريعة
Backstab,طعنة خلفية,ضربة مباغتة مميتة من ظهر العدو
Stagger,ترنّح,حالة شلل مؤقت تصيب العدو عند كسر صموده
Knockback,دفع للخلف,إرجاع العدو للخلف بقوة الضربة
Runes,الرونات,المهارات السحرية والقتالية الخاصة المركبة على السلاح
Rune Attacks,هجمات الرون,المهارات السحرية والقتالية الخاصة المركبة على السلاح
Greatsword,سيف عظيم,سلاح ثقيل يحمل باليدين
Straight Sword,سيف مستقيم,سلاح قتالي كلاسيكي
Curved Sword,سيف منحنٍ,سيف سريع
Dagger,خنجر,سلاح طعن سريع
Greataxe,فأس عظيمة,فأس ضخمة ثنائية المقبض
Greathammer,مطرقة عظيمة,مطرقة حربية ساحقة
Staff,عصا سحرية,سلاح لإطلاق التعاويذ
Bow,قوس,سلاح هجوم عن بعد
Shield,ترس,درع اليد للدفاع والصد
Rings,خواتم,مجوهرات تعطي تأثيرات سحرية
Ring,خاتم,مجوهرات تعطي تأثيرات سحرية
Infusion,شحن عنصري,تزويد السلاح بطاقة عنصرية (نار، كهرباء...)
Enchanting,السحر / التعزيز السحري,إضافة تأثيرات وسمات عشوائية للعتاد
Gems,أحجار كريمة / جواهر,تُركب في تجاويف العتاد لزيادة خصائصه
Copper Ore,خام نحاس,مادة تعدين
Copper Ingot,سبيكة نحاس,مادة حدادة
Iron Ore,خام حديد,مادة تعدين متقدمة
Iron Ingot,سبيكة حديد,مادة حدادة متقدمة
Birch Wood,خشب البتولا,أخشاب للصناعة والبناء
Pine Wood,خشب الصنوبر,أخشاب للصناعة والبناء
Clay,طين / صلصال,مادة بناء
Meals,وجبات,أطعمة مطهوة لاستعادة الصحة
Herbs,أعشاب,نباتات تجمع من البرية للطبخ والجرعات
Potions,جرعات,قوارير سحرية وعلاجية
Inventory,الحقيبة / المخزون,قائمة العناصر والأدوات
Journal,السجل / اليوميات,قائمة المهام وقصة الرحلة
Bounties,مكافآت الصيد,مهام صيد الوحوش والأهداف
Challenges,التحديات,أهداف ومهام فرعية متنوعة
Fast Travel,السفر السريع,الانتقال اللحظي بين الهمسات المكتشفة
Accept,قبول,زر تأكيد المهمة
Abandon,إلغاء / تخلي,زر الانسحاب من التحدي أو المكافأة
Salvage,تفكيك,تكسير العتاد لاستخراج المواد الأولية
Refine,تكرير / تنقية,تحويل الخامات إلى سبائك وألواح جاهزة
Craft,صناعة,تصنيع عنصر جديد
Upgrade,ترقية,رفع مستوى أو رتبة السلاح/الدرع
Repair,إصلاح,استعادة متانة العتاد المتضرر
Rest,استراحة,الراحة عند نقاط الهمس لملء الصحة واستعادة الوحوش
HUD,شاشة اللعب,عناصر الواجهة أثناء القتال والتجوال
Pin to HUD Log,تثبيت في واجهة اللعب,تثبيت المهمة على جانب الشاشة
Show on Map,إظهار على الخريطة,تحديد موقع الهدف على الخريطة
Plagued,موبوء,مصاب بالوباء ويفقد قواه بالتدريج
Burn,احتراق,ضرر ناري مستمر
Burning,مشتعل,ضرر ناري مستمر
Freeze,تجميد,شلل حركي مؤقت نتيجة الجليد
Frozen,متجمد,شلل حركي مؤقت نتيجة الجليد
Chill,قشعريرة,إبطاء الحركة وسرعة الهجوم
Chilled,مبرّد,إبطاء الحركة وسرعة الهجوم
Shock,صعق,ضرر كهربائي وتشتت التركيز
Electrocuted,مصعوق,ضرر كهربائي وتشتت التركيز
Bleed,نزيف,ضرر ينقص الصحة تدريجياً
Bleeding,ينزف,ضرر ينقص الصحة تدريجياً
Buff,تعزيز / أثر إيجابي,زيادة مؤقتة في القدرات
Debuff,إضعاف / أثر سلبي,نقص مؤقت في القدرات
Bulky,ضخم,زيادة الدرع مع نقص سرعة الصمود
Dense,كثيف,زيادة الدرع مع زيادة الوزن
Quick,سريع,زيادة سرعة الهجوم مع تقليل الضرر
Nimble,رشيق,تقليل استهلاك طاقة الجهد مع خفض التركيز
Keen,حاد,زيادة فرصة الضربة الحرجة
Indestructible,لا ينكسر / منيع,عتاد لا يفقد متانته أبداً
Durable,متين,زيادة كبيرة في متانة العنصر
