Term,Arabic,Description
Risen,الناهضون,فصيل المتمردين واللصوص
Roan,روان,خادم ومساعد المراقب
Rogue,مارق,فئة لاعب
Roll,تدحرج,حركة الهروب والتفادي السريعة
Rune,الرونية,حجر يستخدم لترقية العتاد أو منحه قدرات
Rune Attacks,هجمات الرون,المهارات السحرية والقتالية الخاصة المركبة على السلاح
Runes,الرونات,المهارات السحرية والقتالية الخاصة المركبة على السلاح
Sacrament,ساكرامنت,المدينة الرئيسية والحصن البشري الأخير بالجزيرة
Salvage,تفكيك,تكسير العتاد لاستخراج المواد الأولية
Seneschal,الحاجب / الوكيل,حارس وبواب بوتقة السيريم
Sentinel,حارس,فئة لاعب
Shield,ترس,درع اليد للدفاع والصد
Ship Graveyard,مقبرة السفن,شاطئ السفن المحطمة
Shock,صعق,ضرر كهربائي وتشتت التركيز
Show on Map,إظهار على الخريطة,تحديد موقع الهدف على الخريطة
Slot,خانة,خانة في واجهة العتاد
Speaker Lucian,المتحدث لوسيان,المساعد المتشدد في محاكم التفتيش
Staff,عصا سحرية,سلاح لإطلاق التعاويذ
Stagger,ترنّح,حالة شلل مؤقت تصيب العدو عند كسر صموده
Stamina,طاقة الجهد / التحمل,شريط الطاقة الأخضر المستخدم للهجوم والمراوغة
Storm Bringer,جالب العاصفة,فئة لاعب
Straight Sword,سيف مستقيم,سلاح قتالي كلاسيكي
Strength,القوة,سمة الأسلحة الثقيلة
Sylvan Hollow,الجوف الغابي,غابة كثيفة مظلمة
Templar,فرسان المعبد,فئة لاعب
The Black Trench,الخندق الأسود,مجاري وأنفاق الصرف العميقة تحت المدينة
The Cerim,السيريم,جماعة المحاربين الأسطوريين المقدسين
The Church,الكنيسة,الكنيسة الكبرى الحاكمة روحياً
The Gallows,المشنقة,ساحة الإعدام في ساكرامنت
The Inquisition,محاكم التفتيش,المؤسسة الدينية العسكرية القادمة من فالن للتطهير
The Pestilence,الوباء,الطاعون القديم الذي عاد ليصيب الجزيرة ويمسخ البشر
The Risen,الناهضون,جماعة المتمردين واللصوص المحاربين بقيادة داراك
The Rookery,برج الحمام (الروكري),البرج المرتفع الذي يقيم فيه المراقب
The Seneschal,الحاجب / الوكيل,حارس وبواب بوتقة السيريم
The Torn,الممزقون,المتحولون والمسوخ المشوهون جراء الإصابة بالوباء
The Watcher,المراقب,العجوز الحكيم في برج الحمام (The Rookery)
Torn,الممزقون,ضحايا الوباء المتحولون لمسوخ
Trickster,مخادع,فئة لاعب
Upgrade,ترقية,رفع مستوى أو رتبة السلاح/الدرع
Utility Slot,خانة الملحقات,خانة للمعدات الإضافية والأدوات
Viper,أفعى,فئة لاعب
Wand,عصا سحرية قصيرة,سلاح سحري
War Room,غرفة الحرب,مقر قادة ساكرامنت العسكريين
Warlord,أمير الحرب,فئة لاعب
Weeping Sisters,الأخوات الباكيات,تكوين صخري / كهفي أسطوري
Weight,الوزن,وزن العتاد الكلي
Whisper,همسة ساكرا,نقطة الحفظ والتفتيش والبعث والسفر السريع
Whispers of Sacra,همسات ساكرا,نقاط الحفظ والتفتيش والبعث والسفر السريع
Whittacker,ويتكر,النجار والحطاب المسؤول عن الأثاث والخشب
Winnick,وينيك,شخصية
Witch,ساحرة,فئة لاعب
Workbench,طاولة العمل,مكان ترقية الأسلحة والدروع
Wraith,شبح,فئة لاعب
